timestamp,date,price
1651852800,2022-05-06T12:00:00,1.045
1651853700,2022-05-06T12:15:00,1.04
1651854600,2022-05-06T12:30:00,1.042
1651855500,2022-05-06T12:45:00,1.049
1651856400,2022-05-06T13:00:00,1.054
1651857300,2022-05-06T13:15:00,1.045
1651858200,2022-05-06T13:30:00,1.046
1651859100,2022-05-06T13:45:00,1.045
1651860000,2022-05-06T14:00:00,1.043
1651860900,2022-05-06T14:15:00,1.04
1651861800,2022-05-06T14:30:00,1.041
1651862700,2022-05-06T14:45:00,1.046
1651863600,2022-05-06T15:00:00,1.047
1651864500,2022-05-06T15:15:00,1.044
1651865400,2022-05-06T15:30:00,1.044
1651866300,2022-05-06T15:45:00,1.049
1651867200,2022-05-06T16:00:00,1.05
1651868100,2022-05-06T16:15:00,1.047
1651869000,2022-05-06T16:30:00,1.043
1651869900,2022-05-06T16:45:00,1.047
1651870800,2022-05-06T17:00:00,1.051
1651871700,2022-05-06T17:15:00,1.049
1651872600,2022-05-06T17:30:00,1.049
1651873500,2022-05-06T17:45:00,1.044
1651874400,2022-05-06T18:00:00,1.046
1651875300,2022-05-06T18:15:00,1.042
1651876200,2022-05-06T18:30:00,1.044
1651877100,2022-05-06T18:45:00,1.047
1651878000,2022-05-06T19:00:00,1.048
1651878900,2022-05-06T19:15:00,1.049
1651879800,2022-05-06T19:30:00,1.049
1651880700,2022-05-06T19:45:00,1.044
1651881600,2022-05-06T20:00:00,1.042
1651882500,2022-05-06T20:15:00,1.046
1651883400,2022-05-06T20:30:00,1.042
1651884300,2022-05-06T20:45:00,1.048
1651885200,2022-05-06T21:00:00,1.043
1651886100,2022-05-06T21:15:00,1.047
1651887000,2022-05-06T21:30:00,1.042
1651887900,2022-05-06T21:45:00,1.041
1651888800,2022-05-06T22:00:00,1.043
1651889700,2022-05-06T22:15:00,1.042
1651890600,2022-05-06T22:30:00,1.037
1651891500,2022-05-06T22:45:00,1.034
1651892400,2022-05-06T23:00:00,1.034
1651893300,2022-05-06T23:15:00,1.031
1651894200,2022-05-06T23:30:00,1.024
1651895100,2022-05-06T23:45:00,1.027
1651896001,2022-05-07T00:00:01,1.023
1651896900,2022-05-07T00:15:00,1.019
1651897800,2022-05-07T00:30:00,1.021
1651898700,2022-05-07T00:45:00,1.019
1651899600,2022-05-07T01:00:00,1.017
1651900500,2022-05-07T01:15:00,1.019
1651901400,2022-05-07T01:30:00,1.026
1651902300,2022-05-07T01:45:00,1.028
1651903200,2022-05-07T02:00:00,1.033
1651904100,2022-05-07T02:15:00,1.04
1651905000,2022-05-07T02:30:00,1.041
1651905900,2022-05-07T02:45:00,1.044
1651906800,2022-05-07T03:00:00,1.046
1651907700,2022-05-07T03:15:00,1.046
1651908600,2022-05-07T03:30:00,1.051
1651909500,2022-05-07T03:45:00,1.061
1651910400,2022-05-07T04:00:00,1.06
1651911300,2022-05-07T04:15:00,1.058
1651912200,2022-05-07T04:30:00,1.056
1651913100,2022-05-07T04:45:00,1.06
1651914000,2022-05-07T05:00:00,1.061
1651914900,2022-05-07T05:15:00,1.061
1651915801,2022-05-07T05:30:01,1.06
1651916700,2022-05-07T05:45:00,1.061
1651917600,2022-05-07T06:00:00,1.055
1651918500,2022-05-07T06:15:00,1.054
1651919400,2022-05-07T06:30:00,1.055
1651920300,2022-05-07T06:45:00,1.057
1651921200,2022-05-07T07:00:00,1.06
1651922100,2022-05-07T07:15:00,1.061
1651923000,2022-05-07T07:30:00,1.058
1651923900,2022-05-07T07:45:00,1.054
1651924800,2022-05-07T08:00:00,1.054
1651925700,2022-05-07T08:15:00,1.053
1651926600,2022-05-07T08:30:00,1.049
1651927500,2022-05-07T08:45:00,1.045
1651928400,2022-05-07T09:00:00,1.045
1651929300,2022-05-07T09:15:00,1.041
1651930200,2022-05-07T09:30:00,1.041
1651931100,2022-05-07T09:45:00,1.044
1651932000,2022-05-07T10:00:00,1.042
1651932900,2022-05-07T10:15:00,1.042
1651933800,2022-05-07T10:30:00,1.045
1651934700,2022-05-07T10:45:00,1.044
1651935600,2022-05-07T11:00:00,1.047
1651936500,2022-05-07T11:15:00,1.048
1651937400,2022-05-07T11:30:00,1.05
1651938300,2022-05-07T11:45:00,1.045
1651939200,2022-05-07T12:00:00,1.046
1651940100,2022-05-07T12:15:00,1.047
1651941000,2022-05-07T12:30:00,1.047
1651941900,2022-05-07T12:45:00,1.05
1651942800,2022-05-07T13:00:00,1.047
1651943700,2022-05-07T13:15:00,1.044
1651944600,2022-05-07T13:30:00,1.049
1651945500,2022-05-07T13:45:00,1.048
1651946400,2022-05-07T14:00:00,1.047
1651947300,2022-05-07T14:15:00,1.049
1651948200,2022-05-07T14:30:00,1.057
1651949100,2022-05-07T14:45:00,1.055
1651950000,2022-05-07T15:00:00,1.052
1651950900,2022-05-07T15:15:00,1.055
1651951800,2022-05-07T15:30:00,1.054
1651952700,2022-05-07T15:45:00,1.05
1651953600,2022-05-07T16:00:00,1.048
1651954500,2022-05-07T16:15:00,1.047
1651955400,2022-05-07T16:30:00,1.045
1651956300,2022-05-07T16:45:00,1.04
1651957200,2022-05-07T17:00:00,1.045
1651958100,2022-05-07T17:15:00,1.035
1651959000,2022-05-07T17:30:00,1.032
1651959900,2022-05-07T17:45:00,1.035
1651960800,2022-05-07T18:00:00,1.019
1651961700,2022-05-07T18:15:00,1.017
1651962600,2022-05-07T18:30:00,1.014
1651963500,2022-05-07T18:45:00,1.015
1651964400,2022-05-07T19:00:00,1
1651965300,2022-05-07T19:15:00,1.021
1651966200,2022-05-07T19:30:00,1.026
1651967100,2022-05-07T19:45:00,1.024
1651968000,2022-05-07T20:00:00,1.02
1651968900,2022-05-07T20:15:00,1.027
1651969800,2022-05-07T20:30:00,1.022
1651970700,2022-05-07T20:45:00,1.021
1651971600,2022-05-07T21:00:00,1.01
1651972500,2022-05-07T21:15:00,1.014
1651973400,2022-05-07T21:30:00,1.009
1651974300,2022-05-07T21:45:00,1.01
1651975200,2022-05-07T22:00:00,1.002
1651976100,2022-05-07T22:15:00,0.993
1651977000,2022-05-07T22:30:00,0.991
1651977900,2022-05-07T22:45:00,0.983
1651978800,2022-05-07T23:00:00,0.989
1651979700,2022-05-07T23:15:00,0.988
1651980600,2022-05-07T23:30:00,0.989
1651981500,2022-05-07T23:45:00,0.987
1651982400,2022-05-08T00:00:00,0.989
1651983300,2022-05-08T00:15:00,0.994
1651984200,2022-05-08T00:30:00,0.997
1651985100,2022-05-08T00:45:00,0.993
1651986000,2022-05-08T01:00:00,0.987
1651986900,2022-05-08T01:15:00,0.985
1651987800,2022-05-08T01:30:00,0.98
1651988700,2022-05-08T01:45:00,0.984
1651989600,2022-05-08T02:00:00,0.984
1651990500,2022-05-08T02:15:00,0.986
1651991400,2022-05-08T02:30:00,0.993
1651992300,2022-05-08T02:45:00,0.994
1651993200,2022-05-08T03:00:00,0.999
1651994100,2022-05-08T03:15:00,0.996
1651995000,2022-05-08T03:30:00,0.993
1651995900,2022-05-08T03:45:00,0.991
1651996800,2022-05-08T04:00:00,0.991
1651997700,2022-05-08T04:15:00,0.999
1651998600,2022-05-08T04:30:00,0.992
1651999500,2022-05-08T04:45:00,0.997
1652000400,2022-05-08T05:00:00,0.997
1652001300,2022-05-08T05:15:00,0.995
1652002200,2022-05-08T05:30:00,0.993
1652003100,2022-05-08T05:45:00,0.989
1652004000,2022-05-08T06:00:00,0.991
1652004900,2022-05-08T06:15:00,0.999
1652005800,2022-05-08T06:30:00,1
1652006700,2022-05-08T06:45:00,1
1652007600,2022-05-08T07:00:00,1.004
1652008500,2022-05-08T07:15:00,1.008
1652009400,2022-05-08T07:30:00,1.01
1652010300,2022-05-08T07:45:00,1.007
1652011200,2022-05-08T08:00:00,1.008
1652012100,2022-05-08T08:15:00,1.009
1652013000,2022-05-08T08:30:00,0.999
1652013900,2022-05-08T08:45:00,0.996
1652014800,2022-05-08T09:00:00,0.989
1652015700,2022-05-08T09:15:00,0.986
1652016600,2022-05-08T09:30:00,0.986
1652017500,2022-05-08T09:45:00,0.984
1652018400,2022-05-08T10:00:00,0.974
1652019300,2022-05-08T10:15:00,0.977
1652020200,2022-05-08T10:30:00,0.977
1652021100,2022-05-08T10:45:00,0.975
1652022000,2022-05-08T11:00:00,0.982
1652022900,2022-05-08T11:15:00,0.981
1652023800,2022-05-08T11:30:00,0.989
1652024700,2022-05-08T11:45:00,0.988
1652025600,2022-05-08T12:00:00,0.979
1652026500,2022-05-08T12:15:00,0.984
1652027400,2022-05-08T12:30:00,0.989
1652028300,2022-05-08T12:45:00,0.987
1652029200,2022-05-08T13:00:00,0.984
1652030100,2022-05-08T13:15:00,0.971
1652031001,2022-05-08T13:30:01,0.972
1652031900,2022-05-08T13:45:00,0.965
1652032800,2022-05-08T14:00:00,0.975
1652033700,2022-05-08T14:15:00,0.966
1652034600,2022-05-08T14:30:00,0.977
1652035500,2022-05-08T14:45:00,0.985
1652036400,2022-05-08T15:00:00,0.986
1652037300,2022-05-08T15:15:00,0.991
1652038200,2022-05-08T15:30:00,0.993
1652039100,2022-05-08T15:45:00,0.991
1652040000,2022-05-08T16:00:00,0.99
1652040900,2022-05-08T16:15:00,0.985
1652041800,2022-05-08T16:30:00,0.979
1652042700,2022-05-08T16:45:00,0.982
1652043600,2022-05-08T17:00:00,0.981
1652044500,2022-05-08T17:15:00,0.989
1652045400,2022-05-08T17:30:00,0.988
1652046300,2022-05-08T17:45:00,0.995
1652047200,2022-05-08T18:00:00,0.995
1652048100,2022-05-08T18:15:00,0.986
1652049000,2022-05-08T18:30:00,0.982
1652049900,2022-05-08T18:45:00,0.978
1652050800,2022-05-08T19:00:00,0.982
1652051700,2022-05-08T19:15:00,0.981
1652052600,2022-05-08T19:30:00,0.979
1652053500,2022-05-08T19:45:00,0.973
1652054400,2022-05-08T20:00:00,0.977
1652055300,2022-05-08T20:15:00,0.981
1652056200,2022-05-08T20:30:00,0.983
1652057100,2022-05-08T20:45:00,0.99
1652058000,2022-05-08T21:00:00,0.987
1652058900,2022-05-08T21:15:00,0.984
1652059800,2022-05-08T21:30:00,0.982
1652060700,2022-05-08T21:45:00,0.971
1652061600,2022-05-08T22:00:00,0.967
1652062500,2022-05-08T22:15:00,0.96
1652063400,2022-05-08T22:30:00,0.95
1652064300,2022-05-08T22:45:00,0.948
1652065200,2022-05-08T23:00:00,0.948
1652066100,2022-05-08T23:15:00,0.957
1652067000,2022-05-08T23:30:00,0.958
1652067900,2022-05-08T23:45:00,0.958
1652068800,2022-05-09T00:00:00,0.956
1652069700,2022-05-09T00:15:00,0.963
1652070600,2022-05-09T00:30:00,0.964
1652071500,2022-05-09T00:45:00,0.959
1652072400,2022-05-09T01:00:00,0.956
1652073300,2022-05-09T01:15:00,0.953
1652074200,2022-05-09T01:30:00,0.949
1652075100,2022-05-09T01:45:00,0.944
1652076000,2022-05-09T02:00:00,0.941
1652076900,2022-05-09T02:15:00,0.934
1652077800,2022-05-09T02:30:00,0.934
1652078700,2022-05-09T02:45:00,0.932
1652079600,2022-05-09T03:00:00,0.936
1652080500,2022-05-09T03:15:00,0.94
1652081400,2022-05-09T03:30:00,0.93
1652082300,2022-05-09T03:45:00,0.931
1652083200,2022-05-09T04:00:00,0.93
1652084100,2022-05-09T04:15:00,0.927
1652085000,2022-05-09T04:30:00,0.921
1652085900,2022-05-09T04:45:00,0.923
1652086801,2022-05-09T05:00:01,0.931
1652087700,2022-05-09T05:15:00,0.937
1652088600,2022-05-09T05:30:00,0.928
1652089500,2022-05-09T05:45:00,0.927
1652090401,2022-05-09T06:00:01,0.926
1652091300,2022-05-09T06:15:00,0.919
1652092200,2022-05-09T06:30:00,0.902
1652093100,2022-05-09T06:45:00,0.897
1652094000,2022-05-09T07:00:00,0.888
1652094900,2022-05-09T07:15:00,0.895
1652095800,2022-05-09T07:30:00,0.894
1652096700,2022-05-09T07:45:00,0.896
1652097600,2022-05-09T08:00:00,0.907
1652098500,2022-05-09T08:15:00,0.897
1652099400,2022-05-09T08:30:00,0.899
1652100300,2022-05-09T08:45:00,0.902
1652101200,2022-05-09T09:00:00,0.892
1652102100,2022-05-09T09:15:00,0.891
1652103000,2022-05-09T09:30:00,0.884
1652103900,2022-05-09T09:45:00,0.901
1652104800,2022-05-09T10:00:00,0.896
1652105700,2022-05-09T10:15:00,0.891
1652106600,2022-05-09T10:30:00,0.879
1652107500,2022-05-09T10:45:00,0.882
1652108400,2022-05-09T11:00:00,0.882
1652109300,2022-05-09T11:15:00,0.886
1652110200,2022-05-09T11:30:00,0.868
1652111100,2022-05-09T11:45:00,0.871
1652112000,2022-05-09T12:00:00,0.869
1652112900,2022-05-09T12:15:00,0.869
1652113800,2022-05-09T12:30:00,0.862
1652114700,2022-05-09T12:45:00,0.839
1652115600,2022-05-09T13:00:00,0.825
1652116500,2022-05-09T13:15:00,0.828
1652117400,2022-05-09T13:30:00,0.837
1652118300,2022-05-09T13:45:00,0.839
1652119200,2022-05-09T14:00:00,0.826
1652120100,2022-05-09T14:15:00,0.821
1652121001,2022-05-09T14:30:01,0.814
1652121900,2022-05-09T14:45:00,0.796
1652122800,2022-05-09T15:00:00,0.815
1652123700,2022-05-09T15:15:00,0.82
1652124600,2022-05-09T15:30:00,0.812
1652125500,2022-05-09T15:45:00,0.805
1652126400,2022-05-09T16:00:00,0.83
1652127300,2022-05-09T16:15:00,0.858
1652128200,2022-05-09T16:30:00,0.858
1652129100,2022-05-09T16:45:00,0.845
1652130000,2022-05-09T17:00:00,0.855
1652130900,2022-05-09T17:15:00,0.853
1652131800,2022-05-09T17:30:00,0.855
1652132700,2022-05-09T17:45:00,0.85
1652133600,2022-05-09T18:00:00,0.831
1652134500,2022-05-09T18:15:00,0.846
1652135400,2022-05-09T18:30:00,0.84
1652136300,2022-05-09T18:45:00,0.854
1652137200,2022-05-09T19:00:00,0.847
1652138100,2022-05-09T19:15:00,0.845
1652139000,2022-05-09T19:30:00,0.835
1652139900,2022-05-09T19:45:00,0.828
1652140800,2022-05-09T20:00:00,0.807
1652141700,2022-05-09T20:15:00,0.805
1652142600,2022-05-09T20:30:00,0.798
1652143500,2022-05-09T20:45:00,0.833
1652144400,2022-05-09T21:00:00,0.846
1652145300,2022-05-09T21:15:00,0.861
1652146200,2022-05-09T21:30:00,0.868
1652147100,2022-05-09T21:45:00,0.862
1652148000,2022-05-09T22:00:00,0.869
1652148900,2022-05-09T22:15:00,0.857
1652149800,2022-05-09T22:30:00,0.877
1652150700,2022-05-09T22:45:00,0.884
1652151600,2022-05-09T23:00:00,0.87
1652152500,2022-05-09T23:15:00,0.867
1652153400,2022-05-09T23:30:00,0.866
1652154300,2022-05-09T23:45:00,0.868
1652155200,2022-05-10T00:00:00,0.867
1652156100,2022-05-10T00:15:00,0.872
1652157000,2022-05-10T00:30:00,0.882
1652157900,2022-05-10T00:45:00,0.899
1652158800,2022-05-10T01:00:00,0.912
1652159700,2022-05-10T01:15:00,0.913
1652160600,2022-05-10T01:30:00,0.912
1652161500,2022-05-10T01:45:00,0.924
1652162400,2022-05-10T02:00:00,0.94
1652163300,2022-05-10T02:15:00,0.951
1652164200,2022-05-10T02:30:00,0.955
1652165100,2022-05-10T02:45:00,0.962
1652166000,2022-05-10T03:00:00,0.948
1652166900,2022-05-10T03:15:00,0.942
1652167800,2022-05-10T03:30:00,0.946
1652168700,2022-05-10T03:45:00,0.934
1652169600,2022-05-10T04:00:00,0.929
