timestamp,date,price
1651851900,2022-05-06T11:45:00,36105.48
1651852800,2022-05-06T12:00:00,35974.68
1651853700,2022-05-06T12:15:00,35973.96
1651854600,2022-05-06T12:30:00,36106.82
1651855500,2022-05-06T12:45:00,36123.75
1651856400,2022-05-06T13:00:00,36230.77
1651857300,2022-05-06T13:15:00,36112.02
1651858200,2022-05-06T13:30:00,36118.25
1651859100,2022-05-06T13:45:00,36045
1651860000,2022-05-06T14:00:00,35901.45
1651860900,2022-05-06T14:15:00,35904.86
1651861800,2022-05-06T14:30:00,35947.56
1651862700,2022-05-06T14:45:00,35988.69
1651863600,2022-05-06T15:00:00,36010.79
1651864500,2022-05-06T15:15:00,35974.96
1651865400,2022-05-06T15:30:00,35955.41
1651866300,2022-05-06T15:45:00,36064.13
1651867200,2022-05-06T16:00:00,35991.32
1651868100,2022-05-06T16:15:00,35947.47
1651869000,2022-05-06T16:30:00,35902.01
1651869900,2022-05-06T16:45:00,35969.42
1651870800,2022-05-06T17:00:00,36087.51
1651871700,2022-05-06T17:15:00,36024.21
1651872600,2022-05-06T17:30:00,36036.28
1651873500,2022-05-06T17:45:00,35959.99
1651874400,2022-05-06T18:00:00,35968.28
1651875300,2022-05-06T18:15:00,35911.16
1651876200,2022-05-06T18:30:00,35910.98
1651877100,2022-05-06T18:45:00,35981.99
1651878000,2022-05-06T19:00:00,36032.7
1651878900,2022-05-06T19:15:00,36040.02
1651879800,2022-05-06T19:30:00,36091.7
1651880700,2022-05-06T19:45:00,36065.83
1651881600,2022-05-06T20:00:00,36015.05
1651882500,2022-05-06T20:15:00,36043.85
1651883400,2022-05-06T20:30:00,35989.99
1651884300,2022-05-06T20:45:00,36020.4
1651885200,2022-05-06T21:00:00,35990.39
1651886100,2022-05-06T21:15:00,36006.75
1651887000,2022-05-06T21:30:00,35989.4
1651887900,2022-05-06T21:45:00,35958.63
1651888800,2022-05-06T22:00:00,36015.26
1651889700,2022-05-06T22:15:00,36000
1651890600,2022-05-06T22:30:00,35939.12
1651891500,2022-05-06T22:45:00,35966.97
1651892400,2022-05-06T23:00:00,35960.01
1651893300,2022-05-06T23:15:00,35935.57
1651894200,2022-05-06T23:30:00,35835.63
1651895100,2022-05-06T23:45:00,35854.07
1651896001,2022-05-07T00:00:01,35820
1651896900,2022-05-07T00:15:00,35785.63
1651897800,2022-05-07T00:30:00,35843.76
1651898700,2022-05-07T00:45:00,35818
1651899600,2022-05-07T01:00:00,35755.37
1651900500,2022-05-07T01:15:00,35813.8
1651901400,2022-05-07T01:30:00,35862.93
1651902300,2022-05-07T01:45:00,35847.38
1651903200,2022-05-07T02:00:00,35887.11
1651904100,2022-05-07T02:15:00,35871.84
1651905000,2022-05-07T02:30:00,35818.83
1651905900,2022-05-07T02:45:00,35838.56
1651906800,2022-05-07T03:00:00,35822.51
1651907700,2022-05-07T03:15:00,35804.38
1651908600,2022-05-07T03:30:00,35844.64
1651909500,2022-05-07T03:45:00,35924.3
1651910400,2022-05-07T04:00:00,35938.01
1651911300,2022-05-07T04:15:00,35961.02
1651912200,2022-05-07T04:30:00,35948.98
1651913100,2022-05-07T04:45:00,35974.08
1651914000,2022-05-07T05:00:00,36029.07
1651914900,2022-05-07T05:15:00,36017.15
1651915801,2022-05-07T05:30:01,36003.73
1651916700,2022-05-07T05:45:00,36007.18
1651917600,2022-05-07T06:00:00,35993.9
1651918500,2022-05-07T06:15:00,36021.65
1651919400,2022-05-07T06:30:00,36042.93
1651920300,2022-05-07T06:45:00,36091.13
1651921200,2022-05-07T07:00:00,36087.44
1651922100,2022-05-07T07:15:00,36102.12
